ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
SN,2019,10.99,6.47,94.76,70.39,18.75,40.29,27.7030,1452.13,0.25,46.70,0.200,0.020,0.067,0.267,1430,NA,NA,NA,NA,NA,46.70,5.49
SO,2019,14.66,12.79,53.93,NA,44.15,36.82,23.0217,105.31,0.00,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA
SS,2019,6.69,12.01,45.20,NA,70.48,44.14,34.6242,NA,NA,76.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.40,NA
ST,2019,2.20,13.05,135.06,75.13,21.46,56.32,59.1757,1961.25,4.23,66.70,0.511,3.068,0.511,4.602,1950,NA,NA,NA,NA,NA,66.70,NA
SZ,2019,40.46,22.24,174.33,91.42,13.60,54.58,52.1872,4001.58,7.68,58.90,0.076,0.379,0.152,9.098,3670,NA,NA,NA,NA,NA,58.90,NA
TD,2019,13.22,1.91,98.55,73.36,22.87,43.32,33.1302,706.83,0.55,42.30,0.007,NA,0.007,0.021,700,NA,NA,NA,NA,NA,42.30,4.25
TG,2019,14.81,3.60,80.36,56.99,31.78,43.06,32.4721,899.49,1.40,55.10,0.054,0.404,0.054,0.270,920,NA,NA,NA,NA,NA,55.10,4.18
TN,2019,3.18,15.13,339.74,280.55,0.04,32.82,17.8077,3317.52,1.51,15.20,NA,0.009,NA,0.195,3340,NA,NA,NA,NA,NA,15.20,4.32
TZ,2019,8.15,1.96,82.69,58.50,21.26,40.49,27.0383,1084.37,7.81,26.40,0.056,0.009,0.065,0.362,1100,NA,NA,NA,NA,NA,26.40,3.64
UG,2019,10.45,1.72,97.43,67.20,17.61,42.75,30.2166,736.60,6.82,21.40,0.082,0.037,0.037,2.242,780,NA,NA,NA,NA,NA,21.40,4.95
ZA,2019,23.49,28.47,340.15,135.38,8.58,63.03,75.0349,6001.39,7.21,55.50,1.521,NA,NA,NA,6040,NA,NA,NA,NA,NA,55.50,5.03
ZM,2019,14.43,11.91,87.16,45.46,53.14,57.14,60.4667,1292.48,3.82,54.40,0.056,0.031,0.019,1.429,1430,NA,NA,NA,NA,NA,54.40,3.31
ZW,2019,23.63,5.02,121.61,NA,18.30,50.26,42.7862,1463.99,3.11,38.30,0.095,0.057,0.634,3.486,1200,NA,NA,NA,NA,NA,38.30,2.69
