ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AO,2019,12.55,6.93,92.69,57.83,36.73,51.27,47.7890,2670.85,5.84,32.30,0.057,0.179,0.022,0.660,2970,NA,NA,NA,NA,NA,32.30,NA
BF,2019,14.38,4.62,83.53,62.39,14.02,35.30,20.1511,786.90,7.28,41.40,0.039,0.022,0.011,0.635,780,NA,NA,NA,NA,NA,41.40,4.74
BI,2019,12.12,1.42,53.37,39.63,46.27,38.62,24.6737,260.38,4.07,64.90,0.010,0.490,0.069,0.049,280,NA,NA,NA,NA,NA,64.90,NA
BJ,2019,12.71,2.32,82.47,58.31,40.68,47.76,44.6035,1220.49,1.25,38.50,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,38.50,4.98
BW,2019,20.22,17.21,242.30,133.03,5.12,53.33,49.7053,7961.37,5.98,19.30,NA,NA,NA,NA,7660,NA,NA,NA,NA,NA,19.30,3.47
CD,2019,12.41,4.13,45.71,32.93,64.81,42.10,30.2601,2304.13,0.56,63.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.90,NA
CF,2019,22.96,4.04,74.33,40.97,55.72,56.24,57.0637,467.91,0.94,62.00,0.022,NA,0.022,0.022,520,NA,NA,NA,NA,NA,62.00,NA
CG,2019,11.62,9.60,110.90,71.99,24.32,48.94,42.2273,2304.13,5.74,40.90,0.080,0.020,0.020,0.500,NA,NA,NA,NA,NA,NA,40.90,5.21
CI,2019,15.66,3.17,113.20,82.27,14.01,41.47,29.6206,2276.34,1.70,39.50,0.130,NA,NA,0.381,2290,NA,NA,NA,NA,NA,39.50,5.39
CM,2019,15.92,3.32,153.48,103.76,11.66,46.64,37.8863,1501.81,4.09,37.50,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,37.50,4.94
CV,2019,15.23,12.07,277.20,196.24,0.88,42.38,30.1912,3603.78,4.70,35.00,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,35.00,NA
DJ,2019,11.95,10.97,155.82,116.93,8.16,41.59,30.5431,3252.32,0.21,21.10,NA,NA,NA,NA,3310,NA,NA,NA,NA,NA,21.10,NA
DZ,2019,2.60,11.81,249.73,217.74,0.13,27.62,12.5331,3975.51,0.59,5.50,NA,NA,NA,NA,4010,NA,NA,NA,NA,NA,5.50,4.74
EG,2019,3.41,9.73,153.95,123.78,0.76,31.53,16.4186,3161.32,0.14,32.50,1.600,0.256,0.448,4.799,2790,NA,NA,NA,NA,NA,32.50,4.33
ER,2019,17.26,6.34,NA,NA,NA,NA,NA,566.71,0.93,69.00,NA,0.083,0.041,2.166,NA,NA,NA,NA,NA,NA,69.00,NA
ET,2019,9.45,2.04,94.58,77.45,11.87,34.99,20.6270,827.54,1.16,23.50,0.076,0.046,0.040,1.001,850,NA,NA,NA,NA,NA,23.50,4.10
GA,2019,13.11,19.64,295.40,231.62,1.12,38.02,25.0646,7773.20,6.47,33.40,0.259,0.777,0.104,0.518,7170,NA,NA,NA,NA,NA,33.40,4.91
GH,2019,10.54,4.12,206.09,151.37,6.67,43.52,34.4042,2202.63,1.59,23.40,0.058,0.065,NA,7.733,2210,NA,NA,NA,NA,NA,23.40,4.97
GM,2019,9.64,8.94,148.74,115.27,2.83,35.92,21.3650,776.44,2.67,48.60,0.101,NA,0.101,0.303,720,NA,NA,NA,NA,NA,48.60,5.16
GN,2019,12.33,4.14,86.37,70.25,14.29,33.73,19.1085,967.36,0.33,43.70,0.025,0.008,0.008,NA,950,NA,NA,NA,NA,NA,43.70,4.77
GQ,2019,13.51,7.95,NA,NA,NA,NA,NA,8130.41,6.11,76.80,0.681,0.425,0.085,5.105,6280,NA,NA,NA,NA,NA,76.80,NA
GW,2019,12.38,2.79,66.48,40.55,51.58,50.66,44.6719,688.35,3.21,69.30,NA,0.113,0.169,0.791,800,NA,NA,NA,NA,NA,69.30,NA
KE,2019,11.01,2.60,99.82,72.85,16.19,40.78,27.9793,1816.52,1.68,36.10,0.184,NA,NA,NA,1750,NA,NA,NA,NA,NA,36.10,4.62
KM,2019,8.46,7.70,170.90,116.77,9.68,45.33,36.4196,1370.15,0.18,42.40,0.129,0.643,NA,0.386,1400,NA,NA,NA,NA,NA,42.40,4.61
LR,2019,7.37,2.89,78.82,62.83,19.75,35.27,20.6166,523.00,3.12,50.90,0.044,NA,1.400,6.401,580,NA,NA,NA,NA,NA,50.90,5.12
LS,2019,87.48,23.86,140.10,97.68,13.41,44.88,35.4801,1157.54,3.56,49.70,NA,NA,NA,NA,1290,NA,NA,NA,NA,NA,49.70,3.51
LY,2019,4.49,18.34,NA,NA,NA,NA,NA,4810.08,0.01,NA,NA,NA,NA,NA,7640,NA,NA,NA,NA,NA,NA,5.33
MA,2019,7.29,9.01,310.10,226.36,0.20,39.55,25.8867,3282.01,0.51,4.80,0.839,0.575,0.646,2.451,3200,NA,NA,NA,NA,NA,4.80,5.06
MG,2019,9.18,1.67,45.33,31.88,66.03,42.65,30.9529,522.99,0.89,70.70,0.058,0.062,0.050,0.314,510,NA,NA,NA,NA,NA,70.70,4.34
ML,2019,7.96,7.24,71.80,57.47,21.24,33.04,17.7840,886.79,0.60,42.10,0.029,0.011,NA,0.092,870,NA,NA,NA,NA,NA,42.10,4.99
MR,2019,5.47,10.13,174.56,146.71,1.80,32.62,17.9774,1677.92,0.00,31.00,0.072,0.143,NA,0.215,1660,NA,NA,NA,NA,NA,31.00,4.15
MU,2019,8.75,6.36,414.15,319.38,0.03,36.76,22.6615,11168.62,3.39,10.30,2.382,NA,1.509,NA,12900,NA,NA,NA,NA,NA,10.30,6.24
MW,2019,10.58,5.56,62.79,41.43,41.79,44.69,34.8481,434.77,2.04,51.50,NA,NA,NA,NA,550,NA,NA,NA,NA,NA,51.50,3.87
MZ,2019,23.19,3.19,78.97,44.16,44.94,54.00,51.1990,503.75,1.46,46.10,0.046,0.389,0.018,NA,490,NA,NA,NA,NA,NA,46.10,4.93
NA,2019,13.51,19.75,335.30,163.54,6.71,59.07,64.2663,4957.36,2.38,17.40,0.371,1.443,0.206,0.907,5180,NA,NA,NA,NA,NA,17.40,4.44
NE,2019,10.15,0.46,78.14,61.53,18.16,34.28,19.1532,554.58,0.11,40.80,0.014,0.019,0.028,0.126,600,NA,NA,NA,NA,NA,40.80,5.00
NG,2019,6.87,8.53,85.13,68.77,16.88,35.13,20.5496,2361.21,4.49,40.10,NA,NA,NA,NA,2030,NA,NA,NA,NA,NA,40.10,4.36
RW,2019,9.45,0.99,77.17,51.85,29.64,43.71,31.8572,820.09,6.35,38.20,0.060,0.387,0.172,1.376,830,NA,NA,NA,NA,NA,38.20,3.27
SC,2019,7.73,NA,618.42,541.89,0.12,32.13,18.4474,17381.65,9.48,25.30,2.134,3.200,NA,8.534,15930,NA,NA,NA,NA,NA,25.30,NA
SD,2019,4.76,16.76,132.70,106.47,3.52,34.24,19.7039,NA,NA,46.50,NA,NA,NA,NA,820,NA,NA,NA,NA,NA,46.50,NA
SL,2019,11.25,4.36,83.72,63.76,15.04,35.69,20.8216,527.53,3.22,56.80,0.041,0.028,0.028,0.332,540,NA,NA,NA,NA,NA,56.80,3.45
