ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
MW,2015,12.59,5.85,62.79,41.43,41.79,44.69,34.8481,384.07,2.04,51.50,NA,NA,NA,NA,350,9.33,10.98,17.85,28.65,0.00,51.50,3.87
MZ,2015,23.97,3.43,78.97,44.16,44.94,54.00,51.1990,589.86,1.22,46.10,0.046,0.389,0.018,NA,640,7.24,11.26,18.29,27.03,0.00,46.10,4.55
NA,2015,16.29,20.89,335.30,163.54,6.71,59.07,64.2663,4869.37,2.63,17.40,0.371,1.443,0.206,0.907,5310,9.71,7.33,52.08,42.21,0.00,17.40,NA
NE,2015,10.39,0.52,78.14,61.53,18.16,34.28,19.1532,482.93,0.12,40.80,0.014,0.019,0.028,0.126,560,7.14,51.69,54.66,20.79,1.07,40.80,3.67
NG,2015,7.31,4.31,85.13,68.77,16.88,35.13,20.5496,2730.43,4.51,40.10,NA,NA,NA,NA,2820,3.58,71.89,73.64,16.45,1.09,40.10,4.93
RW,2015,9.89,1.14,77.17,51.85,29.64,43.71,31.8572,750.54,6.31,38.20,0.060,0.387,0.172,1.376,750,6.86,12.17,26.29,31.61,17.79,38.20,3.48
SC,2015,7.65,NA,618.42,541.89,0.12,32.13,18.4474,14503.25,8.70,25.30,2.134,3.200,NA,8.534,14020,4.59,28.89,28.93,70.73,0.00,25.30,NA
SD,2015,4.89,17.29,132.70,106.47,3.52,34.24,19.7039,NA,NA,46.50,NA,NA,NA,NA,1540,NA,NA,NA,NA,NA,46.50,NA
SL,2015,10.53,4.64,83.72,63.76,15.04,35.69,20.8216,592.33,3.06,56.80,0.041,0.028,0.028,0.332,550,20.41,36.70,41.79,8.04,0.00,56.80,4.91
SN,2015,11.81,6.76,94.76,70.39,18.75,40.29,27.7030,1218.33,0.19,46.70,0.200,0.020,0.067,0.267,1320,4.38,50.89,57.41,24.60,4.03,46.70,4.62
SO,2015,15.03,13.25,53.93,NA,44.15,36.82,23.0217,105.44,0.00,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,5.35
SS,2015,6.41,12.45,45.20,NA,70.48,44.14,34.6242,NA,NA,76.40,NA,NA,NA,NA,1090,NA,NA,NA,NA,NA,76.40,4.07
ST,2015,2.18,13.46,135.06,75.13,21.46,56.32,59.1757,1595.82,5.00,66.70,0.511,3.068,0.511,4.602,1650,5.34,16.12,17.35,31.62,0.23,66.70,NA
SZ,2015,49.19,23.44,174.33,91.42,13.60,54.58,52.1872,3689.51,7.49,58.90,0.076,0.379,0.152,9.098,3800,7.03,10.57,25.58,41.76,0.00,58.90,NA
TD,2015,13.97,1.87,98.55,73.36,22.87,43.32,33.1302,828.47,0.66,42.30,0.007,NA,0.007,0.021,880,4.52,56.72,61.73,21.26,0.00,42.30,4.32
TG,2015,16.69,2.20,80.36,56.99,31.78,43.06,32.4721,729.97,1.36,55.10,0.054,0.404,0.054,0.270,640,4.96,57.51,65.44,19.03,2.51,55.10,3.77
TN,2015,3.03,15.16,339.74,280.55,0.04,32.82,17.8077,3861.64,1.50,15.20,NA,0.009,NA,0.195,3960,7.01,39.57,42.93,57.01,31.04,15.20,5.13
TZ,2015,8.23,2.10,82.69,58.50,21.26,40.49,27.0383,946.79,7.86,26.40,0.056,0.009,0.065,0.362,980,3.65,25.83,27.71,34.45,6.52,26.40,3.66
UG,2015,11.04,1.86,97.43,67.20,17.61,42.75,30.2166,656.58,7.44,21.40,0.082,0.037,0.037,2.242,830,6.79,38.88,41.16,15.01,0.00,21.40,4.24
ZA,2015,25.55,25.15,340.15,135.38,8.58,63.03,75.0349,5730.93,7.20,55.50,1.521,NA,NA,NA,6050,8.20,7.70,44.01,53.55,0.00,55.50,4.89
ZM,2015,17.26,10.10,87.16,45.46,53.14,57.14,60.4667,1313.59,3.50,54.40,0.056,0.031,0.019,1.429,1580,4.44,12.25,16.50,47.14,0.00,54.40,4.84
ZW,2015,30.74,5.29,121.61,NA,18.30,50.26,42.7862,1445.07,3.84,38.30,0.095,0.057,0.634,3.486,1280,7.45,25.79,54.93,20.82,0.00,38.30,3.70
