ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
FR,2015,11.48,10.35,1644.20,1368.45,0.01,32.38,18.3560,36611.75,11.87,13.60,20.907,48.704,NA,98.017,41130,11.47,9.70,27.60,72.40,71.52,13.60,6.36
GB,2015,7.81,5.30,1511.41,1242.12,0.23,35.15,22.2493,44530.49,9.59,18.60,NA,NA,NA,NA,44340,9.90,15.10,19.85,80.14,0.00,18.60,6.52
GR,2015,3.78,24.90,701.06,600.84,0.04,32.89,19.2091,18322.94,6.68,17.90,5.803,8.781,3.459,12.748,20150,8.02,36.76,41.49,56.86,28.82,17.90,5.62
HR,2015,12.15,16.18,716.67,635.86,0.34,29.73,16.3728,11701.42,9.64,18.30,11.095,4.367,1.298,41.856,12970,6.79,10.94,16.90,83.10,79.76,18.30,5.21
HU,2015,14.60,6.81,769.70,682.79,0.19,29.61,16.2834,12791.50,10.95,12.30,11.079,2.484,NA,33.739,13250,6.89,27.49,32.21,67.79,56.76,12.30,5.34
IE,2015,8.71,9.91,1588.58,1317.40,0.09,31.36,17.7197,62660.20,10.81,13.10,NA,NA,NA,NA,50430,7.32,13.22,27.96,72.04,0.31,13.10,6.83
IS,2015,13.17,3.98,1805.63,1620.60,0.00,26.13,11.7039,52655.47,7.66,8.80,NA,NA,NA,NA,49940,8.13,17.64,19.18,80.82,0.00,8.80,7.50
IT,2015,4.83,11.90,1295.61,1097.57,0.98,35.93,28.6961,30306.12,7.14,20.10,5.978,3.798,2.591,23.492,33000,8.86,23.47,25.56,74.44,0.23,20.10,5.85
LT,2015,28.93,9.12,937.79,753.85,0.29,35.71,23.9708,14127.07,14.20,20.60,18.452,15.860,NA,49.763,5960,6.49,31.84,33.62,66.09,57.17,20.60,5.71
LU,2015,9.57,6.67,2335.50,1923.23,0.15,35.37,22.8110,101888.62,11.37,17.50,17.821,NA,NA,NA,72520,5.28,10.75,14.11,84.51,79.12,17.50,6.70
LV,2015,17.14,9.87,882.65,715.28,0.24,35.10,21.8158,13635.69,10.80,22.90,9.987,NA,NA,22.834,16690,5.69,40.54,41.34,58.68,0.00,22.90,5.88
MD,2015,13.68,3.69,299.21,261.13,0.00,25.66,10.6886,1902.68,6.76,7.30,4.550,0.910,0.492,14.830,3300,8.56,46.19,47.18,45.54,40.01,7.30,6.02
ME,2015,16.35,17.54,466.43,383.00,1.15,38.49,30.5554,6464.70,8.49,24.50,8.278,NA,1.114,18.307,7260,0.00,0.00,0.00,0.00,0.00,24.50,5.12
MK,2015,7.28,26.07,366.14,331.79,1.75,32.96,21.3739,4840.27,3.57,21.60,14.428,2.405,1.443,NA,5110,6.34,34.26,34.69,64.95,58.74,21.60,4.98
MT,2015,6.55,5.38,1410.25,1244.08,0.08,28.67,14.1491,24702.09,7.37,17.10,NA,NA,NA,NA,25230,9.21,37.20,39.16,60.83,0.00,17.10,6.61
NL,2015,9.31,6.87,1644.35,1447.68,0.11,28.12,14.0132,45179.03,8.30,13.60,20.870,123.464,NA,NA,49850,10.32,11.29,34.93,65.07,75.15,13.60,7.32
NO,2015,10.59,4.30,2122.47,1875.31,0.68,27.56,14.7708,74194.95,5.97,12.70,48.040,73.522,NA,NA,92910,10.13,14.14,14.49,85.51,0.00,12.70,7.60
PL,2015,13.15,7.50,576.44,484.82,0.00,30.24,15.0102,12562.73,10.47,15.40,24.176,16.346,NA,30.916,13310,6.40,23.31,30.63,69.33,60.28,15.40,6.01
PT,2015,8.31,12.44,907.35,745.60,0.26,33.49,19.7653,19223.30,10.34,17.20,NA,NA,NA,NA,20460,8.98,27.73,33.83,66.13,1.24,17.20,5.08
RO,2015,9.06,6.81,558.15,475.49,0.97,35.76,25.9931,8928.15,9.45,23.80,5.665,1.479,0.503,18.710,9600,4.94,21.28,22.06,77.94,64.52,23.80,5.78
RS,2015,11.69,17.66,437.74,368.05,0.00,30.35,15.1346,5588.98,7.20,23.20,8.643,4.553,0.362,13.173,5960,8.82,40.59,41.91,57.68,54.50,23.20,5.32
RU,2015,27.87,5.57,606.25,458.73,0.01,37.47,23.1616,9424.49,8.06,12.60,8.479,4.638,2.404,NA,11780,5.30,38.65,41.28,58.72,35.86,12.60,6.00
SE,2015,13.02,7.43,1701.45,1482.28,0.33,29.97,20.8196,51726.20,7.13,17.10,20.863,NA,NA,50.566,58420,10.80,14.89,15.92,84.08,0.00,17.10,7.29
SI,2015,14.75,8.96,1156.58,1042.45,0.00,24.63,10.2061,20804.46,11.49,12.00,11.953,9.302,1.976,36.727,22270,8.50,12.50,28.65,71.35,68.57,12.00,5.74
SK,2015,9.80,11.48,763.59,718.52,0.18,24.97,12.1703,16275.55,10.27,11.90,NA,NA,NA,NA,17680,6.79,18.44,21.15,78.85,75.38,11.90,6.16
UA,2015,17.87,9.14,458.49,403.38,0.00,26.62,11.6156,2026.44,6.04,1.10,6.930,NA,NA,NA,2650,7.78,48.29,50.93,47.41,0.00,1.10,3.96
