ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AG,2015,0.42,NA,NA,NA,NA,NA,NA,14286.09,9.06,NA,1.001,NA,4.003,7.005,12850,5.28,23.53,40.21,59.79,26.54,NA,NA
AR,2015,8.10,7.61,560.04,419.17,0.50,42.90,34.0228,14971.49,8.49,35.50,21.705,222.572,NA,NA,12570,10.23,25.93,33.00,66.71,38.22,35.50,6.70
BB,2015,0.31,11.35,NA,NA,NA,NA,NA,16525.07,9.68,NA,NA,NA,NA,63.332,15740,6.77,44.00,51.04,47.24,0.06,NA,NA
BO,2015,7.20,3.07,415.75,311.56,1.39,41.65,31.4388,3035.97,3.15,37.20,1.128,NA,NA,NA,2960,6.55,27.33,31.19,65.74,28.20,37.20,5.83
BR,2015,5.60,8.43,639.96,387.83,2.19,53.43,54.6065,8813.99,6.63,NA,3.165,12.368,6.608,34.948,10190,8.87,28.44,57.01,42.91,0.00,NA,6.55
BS,2015,3.42,12.00,NA,NA,NA,NA,NA,31295.06,9.27,NA,NA,NA,NA,NA,28000,5.21,30.39,55.06,44.35,4.35,NA,NA
BZ,2015,6.87,7.58,270.44,160.57,9.21,53.26,55.8219,4775.92,6.71,NA,1.392,1.113,NA,3.340,4400,5.82,23.48,29.22,67.82,9.73,NA,NA
CA,2015,11.16,6.91,1836.90,1554.40,0.10,33.31,19.8897,43193.79,8.00,NA,14.679,48.740,145.400,68.659,47590,10.68,14.24,25.96,74.04,1.42,NA,7.41
CL,2015,9.17,6.51,775.39,524.47,0.12,44.44,34.2641,13574.17,7.89,8.60,6.970,NA,NA,1.880,14130,8.30,34.51,51.98,48.02,56.62,8.60,6.53
CO,2015,4.04,8.30,434.50,268.80,2.45,51.34,51.4326,6175.88,4.16,35.70,1.835,NA,NA,0.000,7330,7.52,15.40,29.17,70.83,71.90,35.70,6.39
CR,2015,6.41,9.00,703.57,447.34,0.45,48.19,41.6605,11299.14,3.19,21.00,3.931,142.018,76.957,5.699,10700,7.82,22.60,27.29,72.71,71.04,21.00,6.85
CU,2015,10.36,2.40,NA,NA,NA,NA,NA,7700.43,4.65,NA,9.056,31.061,1.335,8.899,7230,12.81,9.62,9.62,90.33,0.00,NA,NA
DO,2015,6.84,7.61,496.61,355.88,0.13,41.92,30.1702,6920.57,5.39,21.00,2.280,7.598,0.294,NA,6580,5.78,42.85,51.65,40.94,24.20,21.00,5.06
EC,2015,8.88,3.62,413.09,286.81,1.47,45.71,37.3621,6124.49,3.69,25.00,0.458,7.662,0.019,0.056,5970,8.59,43.87,50.22,49.38,21.74,25.00,5.96
