ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
GD,2015,0.62,NA,NA,NA,NA,NA,NA,9096.87,8.20,NA,1.872,NA,2.808,0.936,7750,4.65,53.98,58.04,41.64,0.11,NA,NA
GT,2015,6.40,2.51,258.62,169.74,3.53,48.28,41.2092,3826.26,1.65,59.30,0.492,46.147,0.006,1.071,3700,5.86,55.72,60.39,37.93,19.58,59.30,6.46
GY,2015,39.30,13.46,227.46,164.30,14.23,45.12,43.7319,5576.83,5.48,NA,0.911,0.000,NA,NA,5470,5.37,33.45,36.36,58.76,2.39,NA,NA
HN,2015,4.57,6.15,251.48,172.08,7.10,48.17,43.8644,2302.20,2.49,48.30,0.658,0.625,0.234,NA,2060,7.48,50.66,55.58,39.39,12.26,48.30,4.85
HT,2015,11.97,13.95,105.70,51.66,53.75,60.79,76.2411,781.15,2.78,58.50,0.075,0.560,0.373,0.233,1390,8.63,33.96,38.07,11.05,1.56,58.50,3.57
JM,2015,2.17,13.51,369.14,241.63,0.45,45.46,34.8624,4910.96,3.27,19.90,1.149,0.383,0.453,10.272,4700,5.63,18.97,35.33,63.27,6.78,19.90,NA
LC,2015,7.89,20.67,578.87,376.60,3.21,51.23,53.8709,10093.91,9.23,NA,0.564,NA,0.564,50.788,NA,4.61,45.36,51.93,47.09,2.44,NA,NA
MX,2015,5.60,4.31,410.83,276.30,0.62,45.38,35.6208,9605.97,4.24,41.90,0.207,3.459,0.530,2.239,10160,5.80,40.40,46.92,53.08,28.68,41.90,6.24
NI,2015,4.47,4.70,326.16,224.79,0.97,46.16,36.6636,2049.85,3.72,24.90,0.691,1.792,3.568,NA,1890,7.96,35.39,37.67,56.08,23.75,24.90,5.92
PA,2015,2.95,3.00,814.79,531.60,0.51,49.84,45.8626,13630.31,6.84,22.10,4.031,7.331,9.221,3.452,12200,6.81,30.28,36.72,62.45,25.70,22.10,6.61
PE,2015,2.77,2.92,415.63,313.57,0.74,41.51,30.4731,6229.02,5.68,20.20,2.948,9.507,NA,5.995,6340,5.03,29.63,37.84,61.92,30.59,20.20,5.58
PY,2015,5.85,4.56,539.26,369.64,0.20,45.65,36.2996,5406.70,5.21,23.50,NA,NA,NA,NA,5640,6.75,44.20,52.83,46.85,16.88,23.50,5.56
SR,2015,25.91,7.22,NA,NA,NA,NA,NA,8562.15,4.75,NA,1.265,0.542,0.362,16.630,8890,6.22,22.00,45.21,54.48,41.56,NA,NA
SV,2015,6.78,4.00,361.09,275.64,0.29,38.78,25.4650,3705.58,2.54,22.80,0.887,2.075,0.301,NA,3440,7.63,27.83,33.66,64.30,28.60,22.80,6.02
TT,2015,9.54,2.43,309.26,239.05,0.99,40.27,28.8208,18214.41,5.97,NA,NA,NA,NA,NA,18910,6.04,41.31,48.42,51.48,0.00,NA,NA
US,2015,12.86,5.28,2249.35,1707.33,0.86,41.41,34.8203,56838.68,8.78,NA,10.542,29.864,60.338,4.283,56740,16.71,11.22,49.30,50.70,57.73,NA,6.86
UY,2015,16.66,7.49,810.07,619.24,0.04,39.68,26.9910,15613.78,6.00,8.80,14.134,NA,NA,NA,15620,9.01,16.92,31.58,68.40,48.08,8.80,6.63
VC,2015,3.31,19.16,NA,NA,NA,NA,NA,6920.88,7.41,NA,NA,1.827,1.827,4.568,NA,4.08,30.77,33.96,64.38,0.00,NA,NA
VE,2015,2.37,7.44,328.74,236.99,2.28,44.77,60.2336,11439.20,6.21,33.10,NA,NA,NA,NA,13080,5.80,24.99,54.73,45.27,13.87,33.10,5.57
