ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AE,2016,4.97,1.64,2523.38,2310.22,0.00,25.97,11.1427,38141.86,2.16,NA,1.649,0.765,0.360,4.370,40570,3.40,19.16,28.40,71.60,0.00,NA,6.83
AF,2016,6.01,11.31,NA,NA,NA,NA,NA,509.78,0.01,54.50,0.231,0.296,NA,0.098,550,10.96,75.97,75.97,5.08,0.00,54.50,4.22
AM,2016,4.43,17.62,209.79,178.57,0.15,29.88,14.9867,3591.83,3.83,26.40,3.840,0.788,0.274,11.245,3760,9.95,80.65,81.68,16.45,0.00,26.40,4.33
AZ,2016,3.92,5.00,321.08,266.26,0.00,26.55,11.6495,3889.36,0.39,6.00,3.452,1.165,0.114,6.717,4760,4.04,70.67,70.67,28.82,0.00,6.00,5.30
BD,2016,3.60,4.35,118.26,94.60,3.13,32.39,17.1839,1394.61,0.00,24.30,0.130,0.124,NA,0.873,1370,2.31,73.13,75.77,16.42,0.00,24.30,4.56
BH,2016,6.48,1.38,NA,NA,NA,NA,NA,22631.53,1.39,NA,5.467,1.239,1.458,27.918,21570,4.86,27.99,38.64,61.36,0.03,NA,6.17
BN,2016,2.38,8.47,NA,NA,NA,NA,NA,27156.42,0.67,NA,1.197,5.029,0.239,15.088,33170,2.55,4.98,4.98,95.02,0.00,NA,NA
BT,2016,5.05,2.42,265.79,203.87,0.29,37.44,23.2309,2930.57,0.02,8.20,0.508,NA,NA,0.127,2650,3.48,20.13,21.29,73.95,0.00,8.20,NA
CN,2016,6.99,4.50,353.84,0.00,0.12,38.48,24.4178,7944.08,5.63,0.60,2.199,NA,NA,5.423,8270,4.98,35.91,41.90,58.10,38.66,0.60,5.32
CY,2016,4.15,12.95,1405.44,1135.67,0.00,32.74,18.1607,24514.20,9.59,14.70,NA,NA,0.000,34.970,24710,6.83,46.11,58.77,41.02,0.32,14.70,5.79
GE,2016,9.03,16.60,234.58,188.95,1.08,35.95,22.2078,3770.84,6.85,19.50,6.706,2.328,NA,5.922,4080,8.42,55.52,61.10,36.64,0.00,19.50,4.45
ID,2016,2.58,4.30,210.87,0.00,0.36,38.16,23.8743,3562.82,0.09,9.40,0.310,0.175,NA,2.518,3400,3.09,37.99,53.74,45.84,19.27,9.40,5.14
IL,2016,5.03,4.80,1105.92,905.55,0.05,39.01,27.7574,39332.99,2.72,NA,9.870,88.089,NA,NA,36340,7.15,22.69,35.20,63.46,48.11,NA,7.16
IN,2016,12.60,5.51,109.56,0.00,5.61,35.71,21.1145,1729.38,2.96,21.90,0.292,0.069,0.065,0.796,1680,3.51,63.21,72.52,26.84,4.51,21.90,4.18
IQ,2016,5.33,10.82,191.11,162.59,0.29,29.54,14.2462,4550.66,0.16,18.90,0.343,0.111,0.089,1.218,5340,3.23,78.38,78.40,21.22,0.00,18.90,4.41
IR,2016,5.92,12.43,483.20,342.21,0.12,42.00,29.8013,511.97,0.02,NA,2.016,5.166,1.512,9.451,5370,8.86,42.29,49.36,50.61,31.65,NA,NA
JO,2016,1.86,15.28,335.47,265.45,0.03,33.66,18.3855,4175.40,0.30,15.70,1.125,1.266,0.218,3.297,4000,7.28,30.62,47.28,48.52,3.94,15.70,5.27
JP,2016,13.75,3.10,1424.63,1187.93,0.21,32.85,19.8095,38528.59,8.59,NA,11.867,3.037,8.328,83.805,37860,10.83,12.85,15.96,84.04,75.49,NA,5.95
KG,2016,9.58,7.21,197.31,162.40,0.25,29.70,14.8938,1121.62,5.32,20.10,1.688,0.409,NA,7.365,1110,6.41,57.21,57.22,38.94,5.90,20.10,4.86
KH,2016,5.75,0.72,NA,NA,NA,NA,NA,1269.59,3.85,17.70,0.387,7.089,NA,0.277,1140,6.12,58.56,59.24,21.81,0.19,17.70,4.46
KP,2016,9.24,2.79,NA,NA,NA,NA,NA,666.68,3.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KR,2016,20.49,3.65,1304.29,1135.60,0.05,31.40,17.5727,29423.50,7.94,NA,5.793,1.591,8.404,13.662,28720,6.91,33.03,42.48,57.52,48.75,NA,5.97
KW,2016,2.45,2.16,NA,NA,NA,NA,NA,27649.73,0.00,NA,NA,NA,NA,NA,35330,4.03,15.59,17.23,82.77,0.00,NA,5.95
KZ,2016,22.01,4.96,383.52,321.52,0.00,27.79,12.4334,7698.90,3.58,4.30,NA,NA,NA,NA,8770,3.42,35.67,40.20,59.62,0.00,4.30,5.53
LA,2016,6.18,0.67,159.73,116.53,2.19,38.80,24.7142,2308.80,7.61,18.30,NA,NA,NA,NA,2120,2.36,46.44,49.48,32.40,2.37,18.30,NA
LB,2016,2.78,6.26,757.62,642.71,0.00,31.83,16.9794,7626.30,1.18,27.40,1.213,3.298,1.333,3.145,7220,7.98,32.86,48.48,50.70,24.24,27.40,5.27
LK,2016,14.17,4.24,258.44,187.70,0.13,39.35,25.5549,3919.91,2.65,4.10,0.517,0.246,0.285,3.278,3810,3.86,50.12,56.01,43.12,0.43,4.10,NA
MM,2016,3.33,1.14,191.34,159.10,0.24,30.70,15.5311,1262.52,1.61,24.80,0.384,NA,0.013,0.321,1150,5.11,76.67,76.67,13.99,0.56,24.80,4.62
MN,2016,19.82,7.24,286.47,235.27,0.06,32.74,17.6722,3660.14,6.85,28.40,4.031,0.101,0.101,4.199,3500,4.42,31.96,35.00,59.34,23.07,28.40,5.06
MV,2016,3.15,6.12,529.75,445.33,0.00,31.29,16.2297,9209.26,1.23,8.20,2.390,2.151,0.478,NA,8070,10.20,18.98,27.54,72.23,25.30,8.20,NA
MY,2016,5.37,3.44,838.74,617.69,0.00,41.07,28.5746,9817.78,0.61,5.60,1.048,1.029,NA,6.838,10150,3.69,34.41,48.74,51.24,0.67,5.60,NA
NP,2016,9.68,3.05,119.04,96.28,3.76,32.84,17.5316,769.61,0.33,25.20,0.356,0.523,NA,0.558,880,6.28,55.44,69.71,18.58,0.02,25.20,5.10
OM,2016,4.52,3.27,NA,NA,NA,NA,NA,14618.73,0.45,NA,1.738,0.786,NA,3.000,15750,4.36,6.12,11.15,88.85,0.00,NA,NA
PH,2016,2.67,2.69,254.18,176.57,0.55,42.27,29.6292,2941.22,4.53,16.70,0.518,0.885,NA,NA,3450,4.41,53.69,65.97,31.71,12.76,16.70,5.43
PK,2016,10.02,3.78,144.20,115.34,0.63,31.60,16.3982,1362.86,0.04,24.30,NA,NA,NA,NA,1310,2.86,63.13,69.43,28.74,0.88,24.30,5.55
