ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
QA,2016,4.83,0.15,NA,NA,NA,NA,NA,57163.08,1.01,NA,2.712,1.413,0.115,9.933,64550,3.19,9.74,20.77,79.23,0.00,NA,NA
SA,2016,5.90,5.65,NA,NA,NA,NA,NA,19878.76,0.00,NA,1.321,2.034,3.955,10.660,21610,5.84,15.71,33.29,66.71,0.00,NA,6.47
SG,2016,7.30,4.08,NA,NA,NA,NA,NA,56360.50,1.84,NA,4.191,NA,NA,NA,53060,4.40,32.66,52.66,47.34,7.59,NA,6.03
SY,2016,1.83,8.44,259.67,194.13,0.15,37.51,23.0139,708.67,0.18,35.20,0.368,1.068,0.801,1.068,NA,NA,NA,NA,NA,NA,35.20,NA
TH,2016,7.59,0.69,474.05,370.52,0.02,34.86,19.7293,5978.62,7.12,9.90,0.721,1.749,0.836,7.418,5700,3.76,11.35,23.95,75.95,11.29,9.90,6.07
TJ,2016,5.38,6.90,203.10,166.22,1.12,34.00,19.3479,802.52,0.88,26.30,1.392,NA,NA,1.497,1110,7.00,66.00,66.23,28.57,0.00,26.30,5.10
TL,2016,4.45,4.66,95.66,80.89,5.35,28.65,13.3772,1353.75,0.44,41.80,0.081,0.081,1.612,1.370,1750,4.55,7.90,11.21,49.64,0.00,41.80,NA
TM,2016,6.59,3.90,80.41,57.85,25.52,40.81,27.9523,6387.69,3.32,NA,NA,NA,NA,NA,6830,6.62,76.16,81.23,18.58,0.00,NA,5.89
TR,2016,2.26,10.84,596.42,434.76,0.05,41.91,30.1491,10894.48,1.22,14.40,1.637,2.537,1.643,150.251,11260,4.28,16.47,21.56,78.44,55.91,14.40,5.33
UZ,2016,9.21,5.20,62.67,49.33,30.90,35.27,20.8311,2600.97,2.40,14.10,2.612,0.090,NA,9.214,2650,4.97,54.66,55.44,43.59,0.00,14.10,5.89
VN,2016,7.58,1.85,328.00,266.14,0.41,35.72,21.9244,2192.17,3.15,6.70,NA,NA,NA,NA,2080,5.66,44.57,50.27,47.43,22.29,6.70,5.06
YE,2016,6.98,13.31,125.29,95.90,5.32,36.71,22.2011,811.14,0.02,48.60,0.201,0.409,0.056,0.323,1200,0.00,0.00,0.00,0.00,0.00,48.60,3.83
