ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
RU,2019,21.60,38.18,7.23,4.60,4.76,4.42,606.25,458.73,0.01,37.47,23.1616,11605.57,7.29,0.97,3.16,3.04,12.60,8.479,4.638,2.404,0,2,11250
RW,2019,9.45,14.76,5.04,0.99,0.95,1.02,77.17,51.85,29.64,43.71,31.8572,820.09,6.35,0.03,0.09,0.23,38.20,0.060,0.387,0.172,1.376,0,830
SA,2019,5.43,7.79,1.91,6.13,2.97,22.97,0,0,0,0,0,23139.80,0.00,0.00,0.00,0.00,0,1.321,2.034,3.955,10.660,3,22840
SB,2019,17.37,32.25,2.41,0.60,0.59,0.62,112.33,86.63,8.74,37.05,22.9350,1944.82,1.19,0.06,0.02,1.10,12.70,0,0,0,0,1,2370
SC,2019,7.73,14.00,1.33,0,0,0,618.42,541.89,0.12,32.13,18.4474,17381.65,9.48,0.49,4.62,4.11,25.30,2.134,3.200,0,8.534,3,15930
SD,2019,4.76,6.34,3.26,16.76,11.44,28.82,132.70,106.47,3.52,34.24,19.7039,0,0,0,0,0,46.50,0,0,0,0,0,820
SE,2019,12.37,16.95,7.73,6.83,6.72,6.96,1701.45,1482.28,0.33,29.97,20.8196,52895.96,7.10,3.40,1.00,2.60,17.10,20.863,0,0,50.566,3,56090
SG,2019,9.65,12.67,6.37,3.10,3.06,3.16,0,0,0,0,0,64102.74,1.81,0.27,0.24,1.26,0,4.191,0,0,0,3,58390
SI,2019,13.97,22.67,5.54,4.45,4.01,4.95,1156.58,1042.45,0.00,24.63,10.2061,26062.17,11.05,5.26,1.26,4.54,12.00,11.953,9.302,1.976,36.727,3,25940
SK,2019,9.31,16.71,2.58,5.75,5.59,5.96,763.59,718.52,0.18,24.97,12.1703,19255.90,10.30,2.01,4.14,4.14,11.90,0,0,0,0,3,19220
SL,2019,11.25,14.80,8.18,4.36,5.14,3.58,83.72,63.76,15.04,35.69,20.8216,527.53,3.22,0.01,0.15,0.17,56.80,0.041,0.028,0.028,0.332,0,540
SN,2019,10.99,18.53,5.18,6.47,6.09,7.02,94.76,70.39,18.75,40.29,27.7030,1452.13,0.25,0.02,0.02,0.21,46.70,0.200,0.020,0.067,0.267,1,1430
SO,2019,14.66,22.75,7.07,12.79,12.68,13.18,53.93,0,44.15,36.82,23.0217,105.31,0.00,0.00,0.00,0.00,0,0,0,0,0,0,320
SR,2019,25.89,41.33,11.79,6.94,4.20,11.33,0,0,0,0,0,6359.63,6.60,0.14,2.87,3.40,0,1.265,0.542,0.362,16.630,2,6340
SS,2019,6.69,10.38,3.38,12.01,10.89,13.16,45.20,0,70.48,44.14,34.6242,0,0,0,0,0,76.40,0,0,0,0,3,0
ST,2019,2.20,3.34,1.15,13.05,8.81,20.51,135.06,75.13,21.46,56.32,59.1757,1961.25,4.23,3.58,0.23,0.42,66.70,0.511,3.068,0.511,4.602,1,1950
SV,2019,6.11,11.14,2.08,3.96,4.15,3.70,361.09,275.64,0.29,38.78,25.4650,4187.25,2.94,0.06,1.37,1.50,22.80,0.887,2.075,0.301,0,1,3990
SY,2019,2.11,3.51,0.75,8.16,5.71,20.37,259.67,194.13,0.15,37.51,23.0139,1193.85,0.13,0.00,0.11,0.02,35.20,0.368,1.068,0.801,1.068,3,0
SZ,2019,40.46,78.67,6.41,22.24,20.65,23.97,174.33,91.42,13.60,54.58,52.1872,4001.58,7.68,0.06,0.00,2.45,58.90,0.076,0.379,0.152,9.098,1,3670
TD,2019,13.22,20.21,6.88,1.91,1.95,1.85,98.55,73.36,22.87,43.32,33.1302,706.83,0.55,0.01,0.01,0.37,42.30,0.007,0,0.007,0.021,0,700
TG,2019,14.81,23.99,6.45,3.60,4.48,2.67,80.36,56.99,31.78,43.06,32.4721,899.49,1.40,0.09,0.20,0.78,55.10,0.054,0.404,0.054,0.270,0,920
TH,2019,7.95,13.87,2.30,0.72,0.70,0.73,474.05,370.52,0.02,34.86,19.7293,7784.74,6.86,0.23,4.78,1.85,9.90,0.721,1.749,0.836,7.418,2,7260
TJ,2019,5.32,7.35,3.38,6.66,7.53,5.17,203.10,166.22,1.12,34.00,19.3479,894.01,0.85,0.01,0.45,0.38,26.30,1.392,0,0,1.497,1,1070
TL,2019,4.53,6.69,2.42,4.42,3.07,6.03,95.66,80.89,5.35,28.65,13.3772,1560.51,0.41,0.09,0.05,0.27,41.80,0.081,0.081,1.612,1.370,1,2020
TM,2019,6.07,9.41,2.91,3.74,4.86,2.04,80.41,57.85,25.52,40.81,27.9523,8124.49,2.88,1.25,0.98,0.65,0,0,0,0,0,2,7220
TN,2019,3.18,4.60,1.84,15.13,12.39,22.41,339.74,280.55,0.04,32.82,17.8077,3317.52,1.51,0.32,0.17,0.99,15.20,0,0.009,0,0.195,1,3340
TO,2019,4.37,5.88,2.94,3.01,2.56,3.65,306.44,231.85,0.21,37.59,23.3546,4865.49,0.31,0.17,0.11,0.03,22.50,2.821,1.880,0,16.923,2,5000
TR,2019,2.34,3.59,1.19,13.67,12.31,16.38,596.42,434.76,0.05,41.91,30.1491,9126.56,1.18,0.16,0.35,0.67,14.40,1.637,2.537,1.643,150.251,2,9690
TT,2019,8.28,13.09,3.66,3.46,3.46,3.48,309.26,239.05,0.99,40.27,28.8208,16637.26,5.81,0.16,2.65,2.92,0,0,0,0,0,3,16580
TZ,2019,8.15,13.50,3.74,1.96,1.46,2.50,82.69,58.50,21.26,40.49,27.0383,1084.37,7.81,0.09,0.38,0.74,26.40,0.056,0.009,0.065,0.362,1,1100
UA,2019,17.73,32.70,4.65,8.19,8.50,7.85,458.49,403.38,0.00,26.62,11.6156,3495.53,5.69,0.32,2.88,2.44,1.10,6.930,0,0,0,1,3370
UG,2019,10.45,19.39,3.70,1.72,1.24,2.21,97.43,67.20,17.61,42.75,30.2166,736.60,6.82,0.01,0.50,0.85,21.40,0.082,0.037,0.037,2.242,0,780
US,2019,14.51,22.40,6.77,3.67,3.72,3.61,2249.35,1707.33,0.86,41.41,34.8203,65133.73,8.93,1.67,3.29,3.97,0,10.542,29.864,60.338,4.283,3,65910
UY,2019,18.83,31.12,7.67,9.35,7.69,11.34,810.07,619.24,0.04,39.68,26.9910,16190.14,5.42,2.86,0.71,1.86,8.80,14.134,0,0,0,3,17740
UZ,2019,8.28,11.84,4.93,5.65,5.75,5.49,62.67,49.33,30.90,35.27,20.8311,1756.16,2.45,0.09,2.19,0.18,14.10,2.612,0.090,0,9.214,1,1800
VC,2019,1.01,1.33,0.67,18.62,20.07,16.58,0,0,0,0,0,7463.54,7.48,0.24,4.48,2.52,0,0,1.827,1.827,4.568,3,0
VE,2019,2.10,3.65,0.69,7.16,6.83,7.72,328.74,236.99,2.28,44.77,60.2336,4732.82,2.51,0.01,0.92,1.54,33.10,0,0,0,0,3,0
VN,2019,7.22,10.56,4.18,2.04,2.07,2.01,328.00,266.14,0.41,35.72,21.9244,2715.28,3.41,0.02,0.21,3.18,6.70,0,0,0,0,1,2590
VU,2019,20.96,33.10,9.01,1.69,1.90,1.42,148.48,114.99,4.16,37.63,23.7265,3023.41,1.60,0.39,0.87,0.34,12.70,0.378,0.756,0.378,4.535,1,3360
WS,2019,14.60,20.90,7.80,8.22,7.39,9.82,284.84,211.49,0.17,38.73,24.8557,4285.49,2.18,0.00,0.17,2.01,20.30,1.548,0,1.548,1.548,2,4200
YE,2019,7.06,8.95,5.27,12.90,11.85,25.25,125.29,95.90,5.32,36.71,22.2011,855.07,0.02,0.00,0.00,0.02,48.60,0.201,0.409,0.056,0.323,0,940
ZA,2019,23.49,37.88,9.83,28.47,26.78,30.50,340.15,135.38,8.58,63.03,75.0349,6001.39,7.21,1.21,1.31,3.99,55.50,1.521,0,0,0,2,6040
ZM,2019,14.43,25.74,5.28,11.91,10.81,13.09,87.16,45.46,53.14,57.14,60.4667,1292.48,3.82,0.04,0.36,1.26,54.40,0.056,0.031,0.019,1.429,1,1430
ZW,2019,23.63,37.81,13.46,5.02,4.46,5.55,121.61,0,18.30,50.26,42.7862,1463.99,3.11,0.05,0.39,1.20,38.30,0.095,0.057,0.634,3.486,1,1200
