ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
CI,2019,15.66,25.65,5.03,3.17,2.76,3.76,113.20,82.27,14.01,41.47,29.6206,2276.34,1.70,0.33,0.20,1.13,39.50,0.130,0,0,0.381,1,2290
CL,2019,8.04,13.40,2.98,7.29,6.76,8.01,775.39,524.47,0.12,44.44,34.2641,14896.45,7.80,2.61,2.43,2.76,8.60,6.970,0,0,1.880,3,14990
CM,2019,15.92,25.15,7.59,3.32,2.90,3.78,153.48,103.76,11.66,46.64,37.8863,1501.81,4.09,0.16,0.01,2.36,37.50,0,0,0,0,1,1500
CN,2019,6.67,8.63,4.80,4.60,5.08,3.98,353.84,0.00,0.12,38.48,24.4178,10003.56,4.48,0.18,2.63,1.66,0.60,2.199,0,0,5.423,2,10390
CO,2019,3.74,5.96,1.71,9.96,7.88,12.76,434.50,268.80,2.45,51.34,51.4326,6432.39,4.09,0.06,0.92,3.09,35.70,1.835,0,0,0.000,2,6580
CR,2019,7.62,13.35,1.93,11.49,9.13,14.96,703.57,447.34,0.45,48.19,41.6605,12238.38,3.07,0.15,0.36,2.17,21.00,3.931,142.018,76.957,5.699,2,12070
CU,2019,10.19,16.67,4.08,1.67,1.59,1.80,0,0,0,0,0,9295.90,4.70,0.23,2.69,1.77,0,9.056,31.061,1.335,8.899,3,0
CV,2019,15.23,27.40,5.06,12.07,12.55,11.46,277.20,196.24,0.88,42.38,30.1912,3603.78,4.70,1.82,0.60,2.28,35.00,0,0,0,0,1,3630
CY,2019,3.18,5.30,1.06,7.07,6.28,8.01,1405.44,1135.67,0.00,32.74,18.1607,28284.91,9.59,2.72,4.02,2.85,14.70,0,0,0.000,34.970,3,27930
CZ,2019,9.48,15.44,3.78,2.01,1.72,2.38,994.49,872.20,0.01,24.99,10.5968,23451.74,12.73,2.73,3.24,6.77,10.10,12.364,2.518,1.207,30.348,3,21930
DE,2019,8.27,12.80,3.91,3.14,3.50,2.73,1644.23,1403.79,0.00,31.87,17.8843,46231.56,10.56,3.02,1.97,5.57,14.80,13.202,49.555,0,0,3,48600
DJ,2019,11.95,16.25,7.56,10.97,10.77,11.26,155.82,116.93,8.16,41.59,30.5431,3252.32,0.21,0.02,0.14,0.05,21.10,0,0,0,0,1,3310
DK,2019,7.63,11.10,4.24,5.02,4.80,5.27,1708.44,1484.34,0.58,28.17,14.6219,60656.94,9.16,4.08,1.66,3.42,12.50,0,0,0,0,3,64000
DO,2019,5.11,8.53,1.85,6.36,4.11,9.60,496.61,355.88,0.13,41.92,30.1702,8282.12,5.56,0.17,2.18,3.15,21.00,2.280,7.598,0.294,0,2,8100
DZ,2019,2.60,3.30,1.90,11.81,9.67,20.44,249.73,217.74,0.13,27.62,12.5331,3975.51,0.59,0.20,0.08,0.31,5.50,0,0,0,0,1,4010
EC,2019,7.68,11.88,3.60,3.81,3.26,4.60,413.09,286.81,1.47,45.71,37.3621,6183.82,3.05,0.09,0.61,2.32,25.00,0.458,7.662,0.019,0.056,2,6100
EE,2019,11.96,20.16,4.49,4.45,4.08,4.85,1107.53,945.22,0.08,30.32,16.5360,23740.16,11.65,1.92,4.60,4.00,21.70,16.188,6.460,0.532,23.484,3,23250
EG,2019,3.41,4.65,2.22,9.73,6.73,21.33,153.95,123.78,0.76,31.53,16.4186,3161.32,0.14,0.01,0.04,0.09,32.50,1.600,0.256,0.448,4.799,1,2790
ER,2019,17.26,27.16,8.28,6.34,6.24,6.46,0,0,0,0,0,566.71,0.93,0.00,0.00,0.42,69.00,0,0.083,0.041,2.166,3,0
ES,2019,5.28,7.88,2.83,14.10,12.46,16.01,1158.31,977.42,0.87,34.72,24.5110,29815.72,10.73,3.52,2.34,4.67,20.70,9.694,0,0.114,2.873,3,30360
ET,2019,9.45,14.16,5.18,2.04,1.48,2.68,94.58,77.45,11.87,34.99,20.6270,827.54,1.16,0.00,0.20,0.92,23.50,0.076,0.046,0.040,1.001,0,850
FI,2019,13.43,20.09,6.78,6.70,7.18,6.17,1586.47,1382.22,0.01,27.33,12.9664,48678.37,8.23,1.59,1.96,3.76,12.20,23.586,109.486,2.754,51.970,3,50010
FJ,2019,9.51,13.08,5.96,4.11,3.51,5.33,271.79,205.07,0.09,36.70,22.0968,6185.10,2.71,0.29,0.79,1.64,29.90,0.224,0.560,0.560,1.457,2,5800
FM,2019,28.99,44.32,13.21,0,0,0,154.86,117.78,8.68,40.06,29.1303,3640.42,1.59,0.13,0.52,0.92,41.20,0,0,0,0,1,3400
FR,2019,9.65,15.16,4.54,8.44,8.50,8.38,1644.20,1368.45,0.01,32.38,18.3560,40318.75,11.44,6.44,2.30,2.52,13.60,20.907,48.704,0,98.017,3,42330
GA,2019,13.11,23.31,3.81,19.64,14.11,27.95,295.40,231.62,1.12,38.02,25.0646,7773.20,6.47,0.62,0.50,5.31,33.40,0.259,0.777,0.104,0.518,2,7170
GB,2019,6.88,10.40,3.41,3.74,3.92,3.53,1511.41,1242.12,0.23,35.15,22.2493,41854.50,9.80,3.30,2.35,3.53,18.60,0,0,0,0,3,42130
GD,2019,0.64,0.53,0.73,0,0,0,0,0,0,0,0,10817.73,8.62,0.56,4.21,3.54,0,1.872,0,2.808,0.936,2,9830
GE,2019,7.65,13.97,2.17,11.57,12.79,10.15,234.58,188.95,1.08,35.95,22.2078,4439.32,7.45,3.19,2.52,1.71,19.50,6.706,2.328,0,5.922,2,4690
GH,2019,10.54,20.04,1.79,4.12,3.97,4.29,206.09,151.37,6.67,43.52,34.4042,2202.63,1.59,0.05,0.39,0.53,23.40,0.058,0.065,0,7.733,1,2210
GM,2019,9.64,13.27,6.24,8.94,6.50,12.04,148.74,115.27,2.83,35.92,21.3650,776.44,2.67,0.00,0.02,0.21,48.60,0.101,0,0.101,0.303,0,720
GN,2019,12.33,18.36,8.03,4.14,5.30,3.17,86.37,70.25,14.29,33.73,19.1085,967.36,0.33,0.01,0.03,0.29,43.70,0.025,0.008,0.008,0,0,950
GQ,2019,13.51,18.48,8.83,7.95,7.85,8.12,0,0,0,0,0,8130.41,6.11,1.24,0.99,3.83,76.80,0.681,0.425,0.085,5.105,2,6280
GR,2019,3.62,5.90,1.45,17.31,14.02,21.55,701.06,600.84,0.04,32.89,19.2091,19604.49,6.33,2.66,1.45,2.13,17.90,5.803,8.781,3.459,12.748,3,19710
GT,2019,6.23,10.31,2.53,2.36,1.83,3.42,258.62,169.74,3.53,48.28,41.2092,4363.14,1.63,0.05,0.68,0.90,59.30,0.492,46.147,0.006,1.071,2,4610
GW,2019,12.38,19.78,6.69,2.79,2.79,2.79,66.48,40.55,51.58,50.66,44.6719,688.35,3.21,0.98,0.54,0.41,69.30,0,0.113,0.169,0.791,0,800
GY,2019,40.85,64.97,16.96,13.91,12.26,16.46,227.46,164.30,14.23,45.12,43.7319,6609.59,5.11,0.04,2.30,2.75,0,0.911,0.000,0,0,2,6630
HN,2019,2.58,4.39,0.98,5.57,4.60,7.13,251.48,172.08,7.10,48.17,43.8644,2574.91,2.73,0.04,1.09,1.60,48.30,0.658,0.625,0.234,0,1,2390
HR,2019,11.01,17.69,5.08,6.62,6.15,7.16,716.67,635.86,0.34,29.73,16.3728,14627.29,9.64,3.52,1.37,4.75,18.30,11.095,4.367,1.298,41.856,3,14990
HT,2019,11.17,14.87,7.98,13.48,10.91,16.25,105.70,51.66,53.75,60.79,76.2411,714.83,2.85,0.03,2.26,0.55,58.50,0.075,0.560,0.373,0.233,1,1330
HU,2019,11.77,19.15,5.51,3.42,3.36,3.50,769.70,682.79,0.19,29.61,16.2834,16879.14,10.79,3.33,3.50,3.96,12.30,11.079,2.484,0,33.739,3,16530
ID,2019,2.55,3.99,1.15,3.62,3.80,3.35,210.87,0.00,0.36,38.16,23.8743,4135.57,0.08,0.01,0.02,0.06,9.40,0.310,0.175,0,2.518,2,4050
IE,2019,8.90,14.32,3.57,4.95,5.17,4.69,1588.58,1317.40,0.09,31.36,17.7197,81636.58,10.91,2.88,2.29,4.92,13.10,0,0,0,0,3,63530
IL,2019,5.15,8.32,2.13,3.80,3.69,3.93,1105.92,905.55,0.05,39.01,27.7574,46376.47,3.07,0.08,1.16,1.78,0,9.870,88.089,0,0,3,43070
IN,2019,12.91,14.69,11.12,5.27,5.28,5.21,109.56,0.00,5.61,35.71,21.1145,2116.18,3.09,0.00,2.85,0.23,21.90,0.292,0.069,0.065,0.796,1,2120
IQ,2019,4.74,7.27,2.40,12.76,10.00,30.59,191.11,162.59,0.29,29.54,14.2462,5729.68,0.16,0.00,0.04,0.11,18.90,0.343,0.111,0.089,1.218,2,5490
IR,2019,5.13,7.48,2.75,11.14,9.46,18.12,483.20,342.21,0.12,42.00,29.8013,545.22,0.02,0.00,0.02,0.00,0,2.016,5.166,1.512,9.451,2,4530
IS,2019,11.15,18.67,3.48,3.51,3.86,3.12,1805.63,1620.60,0.00,26.13,11.7039,71344.61,7.72,2.11,1.22,4.39,8.80,0,0,0,0,3,72930
