ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
AL,2019,3.72,11.47,261.82,214.91,0.22,33.17,18.1659,5303.20,4.40,14.30,1.471,1.231,1.060,6.876,5220,NA,NA,NA,NA,NA,14.30,5.00
AT,2019,10.40,4.49,1744.60,1517.16,0.94,30.85,19.0678,49700.76,11.90,13.30,NA,NA,NA,NA,51440,NA,NA,NA,NA,NA,13.30,7.20
BA,2019,8.25,15.69,594.32,493.79,0.03,33.03,18.3984,6108.56,5.46,16.90,8.032,1.527,0.594,22.144,6180,NA,NA,NA,NA,NA,16.90,6.02
BE,2019,13.93,5.36,1528.27,1373.82,0.09,27.21,13.2384,46198.31,9.15,14.80,20.057,10.462,17.435,125.692,48010,NA,NA,NA,NA,NA,14.80,6.77
BG,2019,6.50,4.23,722.32,533.65,0.33,41.28,30.7675,9703.49,11.18,NA,7.203,1.867,0.780,17.736,9570,NA,NA,NA,NA,NA,NA,5.11
BY,2019,16.49,4.71,646.46,578.94,0.00,25.28,10.4882,6673.53,10.57,5.00,13.504,5.514,NA,NA,6370,NA,NA,NA,NA,NA,5.00,5.82
CH,2019,9.83,4.39,2110.68,1761.46,0.04,33.14,19.0573,85134.95,9.41,16.00,43.956,84.137,NA,92.659,87950,NA,NA,NA,NA,NA,16.00,7.69
CZ,2019,9.48,2.01,994.49,872.20,0.01,24.99,10.5968,23451.74,12.73,10.10,12.364,2.518,1.207,30.348,21930,NA,NA,NA,NA,NA,10.10,NA
DE,2019,8.27,3.14,1644.23,1403.79,0.00,31.87,17.8843,46231.56,10.56,14.80,13.202,49.555,NA,NA,48600,NA,NA,NA,NA,NA,14.80,7.04
DK,2019,7.63,5.02,1708.44,1484.34,0.58,28.17,14.6219,60656.94,9.16,12.50,NA,NA,NA,NA,64000,NA,NA,NA,NA,NA,12.50,7.69
EE,2019,11.96,4.45,1107.53,945.22,0.08,30.32,16.5360,23740.16,11.65,21.70,16.188,6.460,0.532,23.484,23250,NA,NA,NA,NA,NA,21.70,6.03
ES,2019,5.28,14.10,1158.31,977.42,0.87,34.72,24.5110,29815.72,10.73,20.70,9.694,NA,0.114,2.873,30360,NA,NA,NA,NA,NA,20.70,6.46
FI,2019,13.43,6.70,1586.47,1382.22,0.01,27.33,12.9664,48678.37,8.23,12.20,23.586,109.486,2.754,51.970,50010,NA,NA,NA,NA,NA,12.20,7.78
FR,2019,9.65,8.44,1644.20,1368.45,0.01,32.38,18.3560,40318.75,11.44,13.60,20.907,48.704,NA,98.017,42330,NA,NA,NA,NA,NA,13.60,6.69
GB,2019,6.88,3.74,1511.41,1242.12,0.23,35.15,22.2493,41854.50,9.80,18.60,NA,NA,NA,NA,42130,NA,NA,NA,NA,NA,18.60,7.16
