ISO,Year,suicideRateTotal,unemploymentPTotal,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,GrossNationalIncome,CHE_GDP_Percentage,OOPE_CHE_Percentage,PVT_CHE_Percentage,GGHE_CHE_Percentage,CHI_CHE_Percentage,RatioAtNationalPovertyLine,HapinessScore
NP,2019,9.77,2.85,119.04,96.28,3.76,32.84,17.5316,1073.62,0.36,25.20,0.356,0.523,NULL,0.558,1230,NULL,NULL,NULL,NULL,NULL,25.20,5.45
OM,2019,4.47,1.84,NULL,NULL,NULL,NULL,NULL,15343.06,0.47,NULL,1.738,0.786,NULL,3.000,14150,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PH,2019,2.54,2.24,254.18,176.57,0.55,42.27,29.6292,3323.77,4.85,16.70,0.518,0.885,NULL,NULL,3850,NULL,NULL,NULL,NULL,NULL,16.70,6.27
PK,2019,9.77,3.98,144.20,115.34,0.63,31.60,16.3982,1186.69,0.04,24.30,NULL,NULL,NULL,NULL,1410,NULL,NULL,NULL,NULL,NULL,24.30,NULL
QA,2019,4.66,0.12,NULL,NULL,NULL,NULL,NULL,64781.73,0.96,NULL,2.712,1.413,0.115,9.933,61180,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SA,2019,5.43,6.13,NULL,NULL,NULL,NULL,NULL,23139.80,0.00,NULL,1.321,2.034,3.955,10.660,22840,NULL,NULL,NULL,NULL,NULL,NULL,6.56
SG,2019,9.65,3.10,NULL,NULL,NULL,NULL,NULL,64102.74,1.81,NULL,4.191,NULL,NULL,NULL,58390,NULL,NULL,NULL,NULL,NULL,NULL,6.38
SY,2019,2.11,8.16,259.67,194.13,0.15,37.51,23.0139,1193.85,0.13,35.20,0.368,1.068,0.801,1.068,NULL,NULL,NULL,NULL,NULL,NULL,35.20,NULL
TH,2019,7.95,0.72,474.05,370.52,0.02,34.86,19.7293,7784.74,6.86,9.90,0.721,1.749,0.836,7.418,7260,NULL,NULL,NULL,NULL,NULL,9.90,6.02
TJ,2019,5.32,6.66,203.10,166.22,1.12,34.00,19.3479,894.01,0.85,26.30,1.392,NULL,NULL,1.497,1070,NULL,NULL,NULL,NULL,NULL,26.30,5.46
TL,2019,4.53,4.42,95.66,80.89,5.35,28.65,13.3772,1560.51,0.41,41.80,0.081,0.081,1.612,1.370,2020,NULL,NULL,NULL,NULL,NULL,41.80,NULL
TM,2019,6.07,3.74,80.41,57.85,25.52,40.81,27.9523,8124.49,2.88,NULL,NULL,NULL,NULL,NULL,7220,NULL,NULL,NULL,NULL,NULL,NULL,5.47
TR,2019,2.34,13.67,596.42,434.76,0.05,41.91,30.1491,9126.56,1.18,14.40,1.637,2.537,1.643,150.251,9690,NULL,NULL,NULL,NULL,NULL,14.40,4.87
UZ,2019,8.28,5.65,62.67,49.33,30.90,35.27,20.8311,1756.16,2.45,14.10,2.612,0.090,NULL,9.214,1800,NULL,NULL,NULL,NULL,NULL,14.10,6.15
VN,2019,7.22,2.04,328.00,266.14,0.41,35.72,21.9244,2715.28,3.41,6.70,NULL,NULL,NULL,NULL,2590,NULL,NULL,NULL,NULL,NULL,6.70,5.47
YE,2019,7.06,12.90,125.29,95.90,5.32,36.71,22.2011,855.07,0.02,48.60,0.201,0.409,0.056,0.323,940,NULL,NULL,NULL,NULL,NULL,48.60,4.20
